Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,Abu Bakar Rahmani,MADHUBANI,Country Citizen Party,0,Post Graduate,"Rs 13,58,312  ~ 13 Lacs+",Rs 0  ~
2,Adv Najib Shaikh,AKOLA,Indian National League,0,Graduate Professional,"Rs 25,87,782  ~ 25 Lacs+","Rs 18,00,000  ~ 18 Lacs+"
3,Advocate Balwinder Kumar,JALANDHAR (SC),BSP,1,Post Graduate,,
4,Anandswamy Gaddadevarmath,HAVERI,INC,1,Graduate,"Rs 56,81,54,912  ~ 56 Crore+","Rs 22,46,68,569  ~ 22 Crore+"
5,Bhagyaraj. J,VILUPPURAM (SC),AIADMK,0,12th Pass,"Rs 4,79,83,303  ~ 4 Crore+","Rs 1,43,64,469  ~ 1 Crore+"
6,Boominathan C,MADURAI,IND,0,5th Pass,,
7,Jagadesan A,KALLAKURICHI,Naam Tamilar Katchi,1,Graduate,"Rs 51,76,118  ~ 51 Lacs+",Rs 0  ~
8,Karthikairajan P,SIVAGANGA,IND,0,Graduate,"Rs 32,946  ~ 32 Thou+",Rs 0  ~
9,L. Khaja Hussain,KADAPA,IND,0,Graduate,,
10,M.Nagaraj,CHENNAI CENTRAL,IND,1,Graduate Professional,"Rs 32,21,200  ~ 32 Lacs+","Rs 17,00,000  ~ 17 Lacs+"
11,P. Sivakozhundu,CUDDALORE,DMDK,1,5th Pass,"Rs 84,08,000  ~ 84 Lacs+","Rs 20,00,000  ~ 20 Lacs+"
12,"Sathiyamoorthy, S.",TIRUVANNAMALAI,Makkal Nala Kazhagam,0,Post Graduate,,
13,Senthilmallar K,RAMANATHAPURAM,IND,1,Post Graduate,"Rs 12,74,059  ~ 12 Lacs+",Rs 0  ~
14,Shoban Babu V,BANGALORE NORTH,Indian Labour Party (Ambedkar Phule),0,5th Pass,"Rs 50,000  ~ 50 Thou+",Rs 0  ~
15,A . Raj,BANGALORE SOUTH,IND,0,Graduate,,
16,A Annadurai,TIRUVANNAMALAI,IND,0,10th Pass,"Rs 6,84,000  ~ 6 Lacs+",Rs 0  ~
17,A Asuvathaman,TIRUVANNAMALAI,BJP,2,Graduate Professional,"Rs 60,23,719  ~ 60 Lacs+","Rs 29,98,008  ~ 29 Lacs+"
18,A Beemarao Milinthar,VELLORE,United Republican Party of India,0,10th Pass,,
19,A Chinna Moulali,NANDYAL,BSP,0,Graduate Professional,"Rs 85,08,000  ~ 85 Lacs+","Rs 13,00,000  ~ 13 Lacs+"
20,A Jayachandran,ARAKKONAM,IND,0,10th Pass,"Rs 16,94,200  ~ 16 Lacs+",Rs 0  ~
21,A Jinna Mohammed,SRIPERUMBUDUR,IND,0,8th Pass,,
22,A Muthaiah,TENKASI (SC),IND,0,5th Pass,"Rs 66,289  ~ 66 Thou+",Rs 0  ~
23,A Nakkeeran,TIRUVANNAMALAI,IND,0,Literate,"Rs 4,01,000  ~ 4 Lacs+",Rs 0  ~
24,A Namassivayam,PUDUCHERRY,BJP,0,Others,,
25,A Natarajan,VELLORE,Bharatiya Praja Aikyata Party,0,8th Pass,"Rs 1,55,000  ~ 1 Lacs+",Rs 0  ~
26,A Palani,ARAKKONAM,IND,0,10th Pass,"Rs 2,75,000  ~ 2 Lacs+",Rs 0  ~
27,A Seetha,TENKASI (SC),Bahujan Dravida Party,0,12th Pass,,
28,A T Munusamy,ERODE,Samaniya Makkal Nala Katchi,0,5th Pass,"Rs 84,73,646  ~ 84 Lacs+","Rs 20,00,000  ~ 20 Lacs+"
29,A Vasudevan,PERAMBALUR,IND,0,Post Graduate,"Rs 1,00,000  ~ 1 Lacs+",Rs 0  ~
30,A Velusamy,TIRUPPUR,IND,0,10th Pass,,
31,A Vijayaraghavan,PALAKKAD,CPI(M),1,Graduate Professional,"Rs 1,11,51,017  ~ 1 Crore+",Rs 0  ~
32,A. Ajithkumar,CHENNAI NORTH,Thakkam Katchi,0,Post Graduate,"Rs 61,21,581  ~ 61 Lacs+","Rs 20,46,216  ~ 20 Lacs+"
33,A. Balaji,CUDDALORE,IND,0,Others,,
34,A. Devadas,BELLARY (ST),SUCI(C),0,8th Pass,"Rs 17,46,568  ~ 17 Lacs+",Rs 0  ~
35,A. G. Ramachandra Rao,MYSORE,Secular Democratic Congress,0,Graduate,"Rs 11,23,000  ~ 11 Lacs+",Rs 0  ~
36,A. Gopala Krishna,EAST DELHI,Navarang Congress Party,2,12th Pass,,
37,A. K. Singh (Ashok),MUNGER,IND,0,Graduate Professional,"Rs 2,20,62,267  ~ 2 Crore+",Rs 0  ~
38,A. Kadir Mastan Sayyed (Goregaonkar),HINGOLI,IND,0,8th Pass,"Rs 7,40,000  ~ 7 Lacs+",Rs 0  ~
39,A. Kranthi Kumar,MEDAK,IND,0,10th Pass,,
40,A. M Ariff,ALAPPUZHA,CPI(M),3,Graduate Professional,"Rs 1,32,16,302  ~ 1 Crore+","Rs 60,95,458  ~ 60 Lacs+"
41,A. Madhu,THIRUPATHI (SC),Jai Hindustan Party,0,10th Pass,"Rs 54,300  ~ 54 Thou+",Rs 0  ~
42,A. Purna Chandra,CHITTOOR (SC),IND,0,10th Pass,,
43,A. S. Sathish,MYSORE,IND,0,Graduate,"Rs 5,34,000  ~ 5 Lacs+",Rs 0  ~
44,A. Srinivasulu,MAHBUBNAGAR,IND,0,10th Pass,"Rs 20,000  ~ 20 Thou+",Rs 0  ~
45,A. Varaprasad,THIRUPATHI (SC),Jatiya Jana Sena Party,0,12th Pass,,
46,A.D. Shivappa,SHIMOGA,BSP,0,Graduate,"Rs 2,17,56,000  ~ 2 Crore+","Rs 12,74,783  ~ 12 Lacs+"
47,A.Durairaj,TIRUCHIRAPPALLI,IND,0,5th Pass,"Rs 1,20,000  ~ 1 Lacs+",Rs 0  ~
48,A.H. Siddiqui,RAJNANDGAON,IND,0,Post Graduate,,
49,A.K. Ganesh,DAVANAGERE,IND,0,Literate,"Rs 19,15,000  ~ 19 Lacs+","Rs 17,50,000  ~ 17 Lacs+"
50,A.Kaliyaperumal,TIRUVANNAMALAI,IND,0,5th Pass,"Rs 1,25,000  ~ 1 Lacs+",Rs 0  ~
51,A.Selva Kumar,CHENNAI CENTRAL,Thakkam Katchi,0,10th Pass,,
52,A.T. Dadakhalandar,DAVANAGERE,Country Citizen Party,0,10th Pass,"Rs 50,500  ~ 50 Thou+","Rs 1,48,000  ~ 1 Lacs+"
53,Aabdusa Sattar Sekh,BAHARAMPUR,Indian National Socialistic Action Forces,0,10th Pass,"Rs 75,19,370  ~ 75 Lacs+","Rs 8,00,000  ~ 8 Lacs+"
54,Aacharyadip Subhashchandra Ganoje,AKOLA,IND,0,Graduate,,
55,Aakash Kumar Singh,MAHARAJGANJ,INC,0,12th Pass,"Rs 6,59,33,186  ~ 6 Crore+",Rs 0  ~
56,Aanand Misra,BUXAR,IND,0,12th Pass,"Rs 56,66,811  ~ 56 Lacs+","Rs 1,70,000  ~ 1 Lacs+"
57,Aarab Hasam Sumra,JUNAGADH,IND,0,5th Pass,,
58,Aarif Usman Mansuri,NASHIK,IND,0,Graduate,"Rs 47,41,576  ~ 47 Lacs+",Rs 0  ~
59,Aarnakonda Raju,PEDDAPALLE (SC),IND,0,Post Graduate,"Rs 51,000  ~ 51 Thou+","Rs 2,50,000  ~ 2 Lacs+"
60,Aarti Kishorkumar Haldar,AHMEDNAGAR,Prabuddha Republican Party,0,5th Pass,,
61,Aashtikar Patil Nagesh Bapurao,HINGOLI,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate,"Rs 8,05,85,824  ~ 8 Crore+","Rs 88,67,236  ~ 88 Lacs+"
62,Aasiriyar Shanmuga Sundaram K,THOOTHUKKUDI,IND,0,Post Graduate,"Rs 2,00,000  ~ 2 Lacs+",Rs 0  ~
63,Aathimuthukumar M,THENI,IND,2,5th Pass,,
64,Aatish Mohan Bansode,SOLAPUR (SC),IND,2,Post Graduate,"Rs 11,83,000  ~ 11 Lacs+","Rs 50,000  ~ 50 Thou+"
65,Aayare Rajendra Lahu,RATNAGIRI - SINDHUDURG,BSP,0,Post Graduate,"Rs 26,05,500  ~ 26 Lacs+",Rs 0  ~
66,Abbadi Buchi Reddy,KARIMNAGAR,IND,0,10th Pass,,
67,Abbagoni Ashok Goud,NIZAMABAD,Bahujana Left Party,0,Post Graduate,"Rs 1,80,000  ~ 1 Lacs+",Rs 0  ~
68,Abbavaram Ugendra,RAJAMPET,BSP,0,10th Pass,"Rs 72,500  ~ 72 Thou+",Rs 0  ~
69,Abdhesh Kumar Roy,BEGUSARAI,CPI,4,12th Pass,,
70,Abdul Asif,KOTA,IND,0,10th Pass,"Rs 1,19,713  ~ 1 Lacs+",Rs 0  ~
71,Abdul Azim Abdul Aziz Shaikh,AURANGABAD,IND,0,10th Pass,"Rs 1,00,000  ~ 1 Lacs+",Rs 0  ~
72,Abdul Bari,BIJNOR,Jai Samta Party,1,Doctorate,,
73,Abdul Basit,SOUTH DELHI,BSP,0,Graduate,"Rs 1,81,68,589  ~ 1 Crore+",Rs 0  ~
74,Abdul Basit Tapadar,KARIMGANJ,IND,0,12th Pass,"Rs 13,35,000  ~ 13 Lacs+",Rs 0  ~
75,Abdul Goffar Talukdar,KARIMGANJ,IND,0,12th Pass,,
76,Abdul Hafeez Abdul Haque,DHULE,IND,0,12th Pass,"Rs 3,01,000  ~ 3 Lacs+",Rs 0  ~
77,Abdul Hamed,DARRANG-UDALGURI,Rashtriya Ulama Council,0,12th Pass,"Rs 2,58,00,000  ~ 2 Crore+","Rs 4,45,000  ~ 4 Lacs+"
78,Abdul Hameed,KARIMGANJ,IND,0,12th Pass,,
79,Abdul Hoque,KAZIRANGA,IND,0,12th Pass,"Rs 2,01,30,389  ~ 2 Crore+","Rs 50,54,285  ~ 50 Lacs+"
80,Abdul Imran,BIRBHUM,IND,0,12th Pass,"Rs 46,000  ~ 46 Thou+",Rs 0  ~
81,Abdul Jabbar,VIDISHA,IND,0,5th Pass,,
82,Abdul Kalam Mazumder,KARIMGANJ,IND,3,8th Pass,"Rs 60,47,515  ~ 60 Lacs+",Rs 0  ~
83,Abdul Kareem K. S/O Assain,KOZHIKODE,IND,0,5th Pass,"Rs 21,11,700  ~ 21 Lacs+",Rs 0  ~
84,Abdul Kareem S/O Ayammath Kutty,KOZHIKODE,IND,0,10th Pass,,
85,Abdul Kareem S/O Mahammood,KOZHIKODE,IND,0,12th Pass,"Rs 10,000  ~ 10 Thou+",Rs 0  ~
86,Abdul Mabood,SULTANPUR,Apna Desh Party,0,10th Pass,"Rs 1,56,52,700  ~ 1 Crore+",Rs 0  ~
87,Abdul Matin,SUPAUL,IND,0,Post Graduate,,
88,Abdul Nazeer Ahammed,DAVANAGERE,IND,0,5th Pass,"Rs 17,28,000  ~ 17 Lacs+","Rs 80,000  ~ 80 Thou+"
89,Abdul Rafiq Abdul Latif,JALNA,IND,0,Literate,"Rs 1,06,000  ~ 1 Lacs+",Rs 0  ~
90,Abdul Rais Ahemad,NANDED,Desh Janhit Party,0,5th Pass,,
91,Abdul Rajak Shaik,NARSARAOPET,IND,0,Graduate Professional,"Rs 1,19,64,145  ~ 1 Crore+","Rs 8,00,000  ~ 8 Lacs+"
92,Abdul Raouf Malik,ANANTNAG-RAJOURI,IND,0,10th Pass,"Rs 3,23,27,353  ~ 3 Crore+","Rs 9,00,000  ~ 9 Lacs+"
93,Abdul Rashid,VIDISHA,IND,0,5th Pass,,
94,Abdul Rashid Sheikh,BARAMULLA,IND,3,Graduate,"Rs 1,56,37,424  ~ 1 Crore+","Rs 14,42,558  ~ 14 Lacs+"
95,Abdul Rouf Naik,ANANTNAG-RAJOURI,IND,0,Post Graduate,"Rs 2,00,000  ~ 2 Lacs+",Rs 0  ~
96,Abdul Samad,SITAMARHI,IND,0,Literate,,
97,Abdul Samad Bagwan,AURANGABAD,All India Majlis-E-Inquilab-E-Millat,0,Graduate,"Rs 22,82,613  ~ 22 Lacs+","Rs 5,37,000  ~ 5 Lacs+"
98,Abdul Sattar A.S.R,KURNOOL,Anna YSR Congress Party,1,Post Graduate,"Rs 60,60,000  ~ 60 Lacs+","Rs 12,00,000  ~ 12 Lacs+"
99,Abdul Shakur Deshpande,JALGAON,IND,0,Graduate,,
100,Abdul Tahir Advocate (Bablu Rajnikant) S/O Saeed Pahelwan Ansari,BHOPAL,Bahujan Maha Party,0,Graduate Professional,"Rs 57,31,072  ~ 57 Lacs+",Rs 0  ~
101,Abdul Tahir Advocate Bablu Rajnikant,MUMBAI NORTH - CENTRAL,IND,0,Graduate Professional,"Rs 58,03,440  ~ 58 Lacs+",Rs 0  ~
102,Abdulaziz Kaladagi Pendari,BAGALKOT,IND,0,8th Pass,,
103,Abdulhaq Ismail Nedariya,PATAN,IND,1,5th Pass,"Rs 46,25,500  ~ 46 Lacs+",Rs 0  ~
104,Abdulkuddus,PATAN,IND,0,5th Pass,"Rs 3,10,000  ~ 3 Lacs+",Rs 0  ~
105,Abdulsalam S/O Muhammed Haji,MALAPPURAM,IND,1,8th Pass,,
106,Abdus Subhan Tapadar,KARIMGANJ,IND,0,12th Pass,"Rs 5,80,733  ~ 5 Lacs+",Rs 0  ~
107,Abdussamed Malayampalli,PONNANI,IND,0,10th Pass,"Rs 43,68,382  ~ 43 Lacs+",Rs 0  ~
108,Abha Ray,VAISHALI,Peoples Party of India (Democratic),0,10th Pass,,
109,Abhang Gangaram Suryawanshi,LATUR (SC),IND,0,Graduate,"Rs 4,10,000  ~ 4 Lacs+","Rs 90,000  ~ 90 Thou+"
110,Abhay Jain,INDORE,IND,0,Graduate Professional,"Rs 56,20,000  ~ 56 Lacs+",Rs 0  ~
111,Abhay Kashinath Patil,AKOLA,INC,1,Graduate Professional,,
112,Abhay Kumar,MUZAFFARPUR,Samata Party,1,12th Pass,"Rs 50,85,000  ~ 50 Lacs+","Rs 7,00,000  ~ 7 Lacs+"
113,Abhay Kumar Ekka,RAIGARH (ST),IND,0,12th Pass,"Rs 4,50,014  ~ 4 Lacs+",Rs 0  ~
114,Abhay Kumar Sinha,AURANGABAD,RJD,16,12th Pass,,
115,Abhay Singh Chautala,KURUKSHETRA,Indian National Lok Dal,1,10th Pass,"Rs 60,70,39,332  ~ 60 Crore+","Rs 10,57,60,528  ~ 10 Crore+"
116,Abhaya Sheela,BANGALORE CENTRAL,Rashtriya Samaj Dal (R),2,12th Pass,"Rs 24,05,000  ~ 24 Lacs+","Rs 15,00,000  ~ 15 Lacs+"
117,Abhijeet Ashokrao Pote,SHIRDI (SC),IND,0,Graduate,,
118,Abhijit Das (Bobby),DIAMOND HARBOUR,BJP,13,Post Graduate,"Rs 99,18,174  ~ 99 Lacs+","Rs 5,52,898  ~ 5 Lacs+"
119,Abhijit Gangopadhyay,TAMLUK,BJP,0,Graduate Professional,"Rs 4,62,55,624  ~ 4 Crore+","Rs 50,77,654  ~ 50 Lacs+"
120,Abhijit Maji,ARAMBAG (SC),IND,0,8th Pass,,
121,Abhijit Mandal,BAHARAMPUR,SUCI(C),0,Graduate,"Rs 84,85,209  ~ 84 Lacs+",Rs 0  ~
122,Abhijit Wamanrao Bichukale,KALYAN,IND,1,Graduate,"Rs 9,29,111  ~ 9 Lacs+",Rs 0  ~
123,Abhilash Chelimela,MEDAK,IND,0,10th Pass,,
124,Abhilash Shirna,MEDAK,IND,1,10th Pass,"Rs 16,06,560  ~ 16 Lacs+","Rs 19,58,780  ~ 19 Lacs+"
125,Abhinesh Singh,KHANDWA,Rashtriya Jan Awaz Party,0,Post Graduate,"Rs 71,000  ~ 71 Thou+",Rs 0  ~
126,Abhishek Banerjee,DIAMOND HARBOUR,AITC,2,Post Graduate,,
127,Abhishek K,BANGALORE RURAL,Uttama Prajaakeeya Party,0,Graduate Professional,"Rs 1,01,81,571  ~ 1 Crore+",Rs 0  ~
128,Abhishek Kumar,HAZARIBAGH,IND,1,12th Pass,"Rs 12,70,000  ~ 12 Lacs+","Rs 2,80,000  ~ 2 Lacs+"
129,Abhishek Pundir,GHAZIABAD,IND,0,Post Graduate,,
130,Abid Ali,AONLA,BSP,1,10th Pass,"Rs 12,91,17,700  ~ 12 Crore+","Rs 64,88,190  ~ 64 Lacs+"
131,Abid Husain,MEERUT,Social Democratic Party Of India,0,Others,"Rs 1,31,13,200  ~ 1 Crore+",Rs 0  ~
132,Abilazan. N,KARUR,IND,0,Post Graduate,,
133,Abinash Gomango,KORAPUT (ST),IND,0,Post Graduate,"Rs 4,11,000  ~ 4 Lacs+","Rs 11,54,931  ~ 11 Lacs+"
134,Abinash Samal,DHENKANAL,BJD,0,Post Graduate,"Rs 36,78,50,379  ~ 36 Crore+","Rs 13,95,40,560  ~ 13 Crore+"
135,Abinaya,DHARMAPURI,Naam Tamilar Katchi,0,Graduate Professional,,
136,Abishek Goud Thabeti,MEDAK,Jana Shankhaaraavam Party,0,10th Pass,"Rs 28,66,000  ~ 28 Lacs+","Rs 43,00,000  ~ 43 Lacs+"
137,Abu Eusuf Md Raihan Uddin,NAGAON,IND,1,Graduate Professional,"Rs 57,51,077  ~ 57 Lacs+",Rs 0  ~
138,Abu Shama,NAGAON,IND,0,10th Pass,,
139,Abu Taher Khan,MURSHIDABAD,AITC,3,10th Pass,"Rs 3,84,76,131  ~ 3 Crore+",Rs 0  ~
140,Abubakkar Siddique,BARPETA,Rashtriya Ulama Council,0,12th Pass,"Rs 10,57,500  ~ 10 Lacs+",Rs 0  ~
141,Abul Hasan Ali Hasan Khan,MUMBAI SOUTH - CENTRAL,Vanchit Bahujan Aaghadi,0,12th Pass,,
142,Abul Kalam Azad,CHANDNI CHOWK,BSP,0,Graduate Professional,"Rs 93,69,380  ~ 93 Lacs+","Rs 10,44,407  ~ 10 Lacs+"
143,Abul Kalam Azad,BARPETA,AITC,0,10th Pass,"Rs 1,31,38,415  ~ 1 Crore+","Rs 7,94,950  ~ 7 Lacs+"
144,Abul Kasem,DARRANG-UDALGURI,Republican Party of India (Athawale),0,Graduate Professional,,
145,Ac Shanmugam,VELLORE,BJP,0,Graduate Professional,"Rs 1,52,77,86,818  ~ 152 Crore+","Rs 28,84,69,177  ~ 28 Crore+"
146,Achal Singh,KANGRA,IND,0,Post Graduate,"Rs 43,15,000  ~ 43 Lacs+",Rs 0  ~
147,Achla Jethmalani,NEW DELHI,Jindabad Kranti Party,0,Post Graduate,,
148,Achyutananda Samanta,KANDHAMAL,BJD,0,Doctorate,"Rs 71,43,693  ~ 71 Lacs+","Rs 50,00,000  ~ 50 Lacs+"
149,Ad. T.R. Nirala,JANJGIR-CHAMPA (SC),IND,0,Post Graduate,"Rs 58,00,674  ~ 58 Lacs+","Rs 30,80,000  ~ 30 Lacs+"
150,Adabala Siva,NARSAPURAM,IND,2,10th Pass,,
151,Adari Sarat Chandra,ANAKAPALLE,Jai Bharat National Party,0,Post Graduate,"Rs 2,76,000  ~ 2 Lacs+","Rs 1,10,000  ~ 1 Lacs+"
152,Adarsh Pandey,PILIBHIT,IND,1,Post Graduate,"Rs 52,26,281  ~ 52 Lacs+",Rs 0  ~
153,Adarsh Ravishankar Thakur,NAGPUR,IND,0,Illiterate,,
154,Adarsha Mondal,HOWRAH,IND,0,12th Pass,"Rs 13,81,225  ~ 13 Lacs+",Rs 0  ~
155,Addanki Dorababu,NARSAPURAM,IND,0,10th Pass,"Rs 34,50,000  ~ 34 Lacs+","Rs 17,00,000  ~ 17 Lacs+"
156,Addepalli Veera Venkat Subba Rao,NARSAPURAM,IND,0,Graduate,,
157,Adhalge Laxman Sadashiv,MAVAL,IND,0,Graduate Professional,"Rs 6,97,98,493  ~ 6 Crore+",Rs 0  ~
158,Adhalrao Shivaji Dattatrey,SHIRUR,NCP,5,12th Pass,"Rs 39,68,00,190  ~ 39 Crore+","Rs 3,89,40,472  ~ 3 Crore+"
159,Adhau Ravikant Ramkrushna,AKOLA,Jay Vidarbha Party,0,10th Pass,,
160,Adhikari Deepak (Dev),GHATAL,AITC,0,Others,"Rs 37,13,47,069  ~ 37 Crore+","Rs 2,86,03,907  ~ 2 Crore+"
161,Adhikari Soumendu,KANTHI,BJP,6,Post Graduate,"Rs 2,61,79,993  ~ 2 Crore+","Rs 2,87,970  ~ 2 Lacs+"
162,Adhir Chandra Barman,JALPAIGURI (SC),IND,0,10th Pass,,
163,Adhir Ranjan Chowdhury,BAHARAMPUR,INC,5,8th Pass,"Rs 11,73,48,800  ~ 11 Crore+","Rs 24,62,632  ~ 24 Lacs+"
164,Adhir Swarnakar,BAHARAMPUR,IND,0,10th Pass,"Rs 57,000  ~ 57 Thou+",Rs 0  ~
165,Adinarayana Duppanapudi,NARSAPURAM,IND,0,8th Pass,,
166,Adinarayana Taddi,VIZIANAGARAM,IND,0,8th Pass,"Rs 1,25,000  ~ 1 Lacs+",Rs 0  ~
167,Aditi,NORTH WEST DELHI (SC),IND,1,Graduate,"Rs 16,596  ~ 16 Thou+",Rs 0  ~
168,Aditya Prakash Sharma,JAIPUR RURAL,Right to Recall Party,0,Post Graduate,,
169,Aditya Shrivastav,GHAZIPUR,Yuga Thulasi Party,0,Graduate,"Rs 4,07,70,077  ~ 4 Crore+",Rs 0  ~
170,Aditya Singh Madhukar,MUNGER,IND,0,10th Pass,"Rs 51,26,273  ~ 51 Lacs+",Rs 0  ~
171,Aditya Yadav,BADAUN,SP,0,Post Graduate,,
172,Adla Kumar,MEDAK,IND,0,Graduate,"Rs 30,000  ~ 30 Thou+",Rs 0  ~
173,Adv Adoor Prakash,ATTINGAL,INC,13,Graduate Professional,"Rs 18,09,33,863  ~ 18 Crore+","Rs 3,68,02,602  ~ 3 Crore+"
174,Adv Ajay Upadhye,RAIGAD,IND,0,Graduate Professional,,
175,Adv Altaf Ahmed,HINGOLI,Indian National League,0,Post Graduate,"Rs 75,48,190  ~ 75 Lacs+","Rs 4,00,000  ~ 4 Lacs+"
176,Adv Arjun Charan Mallik,BHADRAK (SC),BSP,0,Graduate Professional,"Rs 2,00,20,000  ~ 2 Crore+",Rs 0  ~
177,Adv Arun Kumar C A,MAVELIKKARA (SC),CPI,4,Post Graduate,,
178,Adv Ashwini Sharma Hrittwal,KURUKSHETRA,IND,0,Doctorate,"Rs 2,26,77,042  ~ 2 Crore+",Rs 0  ~
179,Adv Asif Ali Siddiquie,MUMBAI NORTH - CENTRAL,IND,1,Post Graduate,"Rs 62,24,745  ~ 62 Lacs+","Rs 42,72,468  ~ 42 Lacs+"
180,Adv B U Gosawi,AURANGABAD,Hindustan Janta Party,0,Post Graduate,,
181,Adv Bhimrao Shende,RAMTEK (SC),Bahujan Republican Socialist Party,0,Post Graduate,"Rs 2,51,500  ~ 2 Lacs+",Rs 0  ~
182,Adv Chandan Kumar Das,BEGUSARAI,BSP,0,Post Graduate,"Rs 2,25,165  ~ 2 Lacs+",Rs 0  ~
183,Adv Charly Paul,CHALAKUDY,Twenty 20 Party,0,Graduate Professional,,
184,Adv Feroz Shaikh,MUMBAI NORTH - CENTRAL,IND,0,Post Graduate,"Rs 23,13,844  ~ 23 Lacs+",Rs 0  ~
185,Adv Gowaal Kagada Padavi,NANDURBAR (ST),INC,0,Post Graduate,"Rs 7,01,70,431  ~ 7 Crore+","Rs 78,17,614  ~ 78 Lacs+"
186,Adv Jyotishwar Vishnu Bhosale,MAVAL,Baliraja Party,1,Graduate Professional,,
187,Adv K Francis George,KOTTAYAM,Kerala Congress,5,Graduate Professional,"Rs 9,51,96,318  ~ 9 Crore+","Rs 13,00,000  ~ 13 Lacs+"
188,Adv Kulwinder Singh,ANANDPUR SAHIB,IND,0,Post Graduate,"Rs 7,37,20,000  ~ 7 Crore+",Rs 0  ~
189,Adv Mitesh Varshney,MUMBAI NORTH - WEST,Bhim Sena,0,Post Graduate,,
190,Adv Nitin Dadahari Pol,SHIRDI (SC),Bahujan Bharat Party,0,Post Graduate,"Rs 11,60,000  ~ 11 Lacs+",Rs 0  ~
191,Adv P K Narayanan S/O Koran,THRISSUR,BSP,0,Graduate Professional,"Rs 28,05,625  ~ 28 Lacs+","Rs 16,10,000  ~ 16 Lacs+"
192,Adv Rajendran,THIRUVANANTHAPURAM,BSP,0,Graduate Professional,,
193,Adv Raju Patil,MAVAL,IND,0,Graduate Professional,"Rs 1,69,26,000  ~ 1 Crore+","Rs 12,41,000  ~ 12 Lacs+"
194,Adv Ravi Shinde,HINGOLI,IND,2,Graduate Professional,"Rs 54,88,869  ~ 54 Lacs+",Rs 0  ~
195,Adv Sachin Umaji Nikam,DHULE,IND,0,Post Graduate,,
196,Adv Shine Lal M P,THIRUVANANTHAPURAM,IND,3,Graduate Professional,"Rs 7,44,600  ~ 7 Lacs+","Rs 7,00,000  ~ 7 Lacs+"
197,Adv Sidharth Deepak Bodhak,SHIRDI (SC),IND,0,Graduate Professional,"Rs 13,38,000  ~ 13 Lacs+",Rs 0  ~
198,Adv Ujwal Nikam,MUMBAI NORTH - CENTRAL,BJP,0,Graduate Professional,,
199,Adv Ulhas Shalikram Dupare,NAGPUR,IND,0,Graduate Professional,"Rs 1,29,85,000  ~ 1 Crore+","Rs 10,00,000  ~ 10 Lacs+"
200,Adv Ulhas Shalikram Dupare,RAMTEK (SC),IND,0,Post Graduate,"Rs 1,29,85,000  ~ 1 Crore+","Rs 10,00,000  ~ 10 Lacs+"
201,Adv Uttamkumar Nakul Sajani Sahu,MUMBAI NORTH - CENTRAL,IND,0,Post Graduate,,
202,Adv V S Sunilkumar,THRISSUR,CPI,2,Graduate Professional,"Rs 64,07,442  ~ 64 Lacs+","Rs 22,00,000  ~ 22 Lacs+"
203,Adv Vikram Uttam Kasabe,SOLAPUR (SC),IND,0,Post Graduate,"Rs 1,31,722  ~ 1 Lacs+",Rs 0  ~
204,Adv Vishal Gajanan Naik,NORTH GOA,IND,0,Graduate Professional,,
205,Adv. Abhishek Master Buddhsen Patel,REWA,BSP,0,Post Graduate,"Rs 3,69,16,113  ~ 3 Crore+","Rs 19,54,965  ~ 19 Lacs+"
206,Adv. Antony Judy,ERNAKULAM,Twenty 20 Party,0,Post Graduate,"Rs 1,15,53,888  ~ 1 Crore+","Rs 18,44,873  ~ 18 Lacs+"
207,Adv. Ashok Saket,SATNA,Bahujan Dravida Party,0,Graduate Professional,,
208,Adv. Bhaskar Marotrao Neware,WARDHA,IND,0,Post Graduate,"Rs 3,42,211  ~ 3 Lacs+",Rs 0  ~
209,Adv. Bhausaheb Anil Belure,OSMANABAD,IND,0,Graduate Professional,"Rs 5,85,92,000  ~ 5 Crore+","Rs 57,00,000  ~ 57 Lacs+"
210,Adv. Bhim Kishor,NORTH EAST DELHI,Peoples Party of India (Democratic),2,Graduate Professional,,
211,Adv. Dean Kuriakose,IDUKKI,INC,88,Post Graduate,"Rs 2,07,97,763  ~ 2 Crore+","Rs 36,19,970  ~ 36 Lacs+"
212,Adv. Dr. Laxman Rambhau Damse,SHIRUR,Bharat Adivasi Party,2,Doctorate,"Rs 4,59,80,000  ~ 4 Crore+",Rs 0  ~
213,Adv. Ganesh Navnathrao Karande,BEED,IND,0,Post Graduate,,
214,Adv. Gurudev Narsingh Suryawanshi,THANE,IND,0,Graduate Professional,"Rs 2,20,000  ~ 2 Lacs+",Rs 0  ~
215,Adv. Hitesh Jaikishan Jeswani,KALYAN,IND,0,Graduate,"Rs 47,68,213  ~ 47 Lacs+","Rs 38,37,559  ~ 38 Lacs+"
216,Adv. Jamir Shaikh,AHMEDNAGAR,IND,0,Post Graduate,,
217,Adv. Joice George,IDUKKI,CPI(M),8,Post Graduate,"Rs 2,17,97,607  ~ 2 Crore+",Rs 0  ~
218,Adv. Jore Sachin Bhaskar,MADHA,IND,5,Post Graduate,"Rs 76,37,000  ~ 76 Lacs+","Rs 12,00,000  ~ 12 Lacs+"
